row,folder,file,d43_filename,d44_res,d44_plays,d44_dur>60,d45_size<30,d45_bitrate,d7_deadair,d6_hum,lufs,auto_status,E1_cap-covers-picture,E2_cap-not-split-synced,E3_cap-font-shrunk,E4_tofu-in-captions,E5_tofu-end-card,E8_tts-homograph,E9_narrator-quotes-kjv,E10_jesus-not-exact-kjv,E12_face-visible-where-withheld,E13_face-inconsistent,E14_caucasian-jesus,E15_halo-glow,E16_brown-mantle-variance,E17_wrong-limb-count,E18_duplicate-character,E19_look-drift,E20_trait-not-reading,E21_trait-caricature,E22_wrong-scale,E23_on-the-water,E24_direction-vs-narration,E25_action-wrong,E26_lighting-wrong-tod,E27_figure-out-of-place,E28_gore-wet-tears,E29_embodied-satan,E30_shame-no-mercy,E31_fear-closing-card,E32_child-in-peril,E33_not-10yo-safe,E34_style-drift,E35_ai-clip-in-stills,E36_gibberish-text,E37_modern-objects,E38_ref-portrait-collapse,E39_must-show-missing,E40_must-never-show-present,E41_verse-card-source,E42_closing-q-vs-seed,E46_narrator-not-plain,E47_not-carried-to-final-verse,E48_sacred-silence-missing
53,build-53-peters-mother-in-law,mark-1_peters-mother-in-law.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
54,build-54-the-leper,mark-1_the-leper.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
55,build-55-withered-hand,mark-3_withered-hand.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
56,build-56-widow-of-nain,luke-7_widow-of-nain.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
57,build-57-jairus-daughter,mark-5_jairus-daughter.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
58,build-58-feeding-5000,john-6_feeding-5000.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
59,build-59-feeding-4000,mark-8_feeding-4000.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
60,build-60-gerasene-demoniac,mark-5_gerasene-demoniac.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
61,build-61-syrophoenician-woman,mark-7_syrophoenician-woman.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
62,build-62-ephphatha,mark-7_ephphatha.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
63,build-63-man-born-blind,john-9_man-born-blind.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
64,build-64-pool-of-bethesda,john-5_pool-of-bethesda.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
68,build-68-multitudes-mountain,matt-15_multitudes-mountain.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
69,build-69-baptism,matt-3_baptism-of-jesus.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
70,build-70-temptations,matt-4_the-temptations.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
71,build-71-calling-the-fishermen,matthew-4_calling-the-fishermen.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
72,build-72-calling-matthew,matthew-9_calling-matthew.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
73,build-73-this-day-fulfilled,luke-4_this-day-fulfilled.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
74,build-74-woman-washed-his-feet,luke-7_woman-washed-his-feet.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
75,build-75-woman-taken-in-adultery,john-8_woman-taken-in-adultery.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
76,build-76-suffer-the-little-children,mark-10_suffer-the-little-children.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
77,build-77-widows-mite,mark-12_the-widows-mite.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
78,build-78-who-is-my-mother,mark-3_who-is-my-mother.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
79,build-79-the-seventy-sent,luke-10_the-seventy-sent.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
80,build-80-come-unto-me,matthew-11_come-unto-me.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
81,build-81-render-unto-caesar,mark-12_render-unto-caesar.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
82,build-82-anointing-at-bethany,mark-14_anointing-at-bethany.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
83,build-83-weeping-over-jerusalem,luke-19_weeping-over-jerusalem.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
84,build-84-no-room-manger,luke-2_no-room-the-manger.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
85,build-85-shepherds-and-angels,luke-2_shepherds-and-angels.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
86,build-86-the-wise-men,matthew-2_the-wise-men.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
87,build-87-boy-in-the-temple,luke-2_boy-in-the-temple.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
88,build-88-triumphal-entry,matthew-21_triumphal-entry.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
89,build-89-the-last-supper,luke-22_the-last-supper.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
90,build-90-washing-feet,john-13_washing-the-disciples-feet.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
91,build-91-gethsemane,luke-22_gethsemane.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
92,build-92-peters-denial,luke-22_peters-denial.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
93,build-93-barabbas-goes-free,mark-15_barabbas-goes-free.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
94,build-94-father-forgive-them,luke-23_father-forgive-them.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
95,build-95-thief-on-the-cross,luke-23_thief-on-the-cross.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
96,build-96-it-is-finished,john-19_it-is-finished.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
97,build-97-the-empty-tomb,luke-24_the-empty-tomb.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
98,build-98-mary-her-name,john-20_mary-her-name.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
99,build-99-flesh-and-bone-thomas,john-20_flesh-and-bone-thomas.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.9),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
100,build-100-the-ascension,acts-1_the-ascension.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
101,build-101-still-small-voice,1kings-19_the-still-small-voice.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
102,build-102-jacobs-ladder,genesis-28_jacobs-ladder.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
103,build-103-peters-confession,matthew-16_peters-confession.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
104,build-104-boy-samuel,1samuel-3_the-boy-samuel.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
105,build-105-face-to-face,exodus-33_face-to-face.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
106,build-106-god-spake-by-prophets,hebrews-1_god-spake-by-prophets.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
107,build-107-john-baptist-doubt,matthew-11_john-the-baptists-doubt.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
108,build-108-my-sheep-hear-my-voice,john-10_my-sheep-hear-my-voice.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
109,build-109-ask-seek-knock,matthew-7_ask-seek-knock.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
